1,Walmart,1,9862.00 ,-27.70,2300000,C. Douglas McMillon,Retailing,General Merchandisers,Bentonville,AR,36.3728538,-94.2088172
2,Exxon Mobil,4,19710.00 ,151.40,71200,Darren W. Woods,Energy,Petroleum Refining,Irving,TX,32.8140177,-96.9488945
3,Berkshire Hathaway,2,44940.00 ,86.70,377000,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),Omaha,NE,41.2565369,-95.9345034
4,Apple,3,48351.00 ,5.80,123000,Timothy D. Cook,Technology,"Computers, Office Equipment",Cupertino,CA,37.3229978,-122.0321823
5,UnitedHealth Group,6,10558.00 ,50.50,260000,David S. Wichmann,Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN,44.9211836,-93.4687489
6,McKesson,5,5070.00 ,124.50,64500,John H. Hammergren,Wholesalers,Wholesalers: Health Care,SF,CA,37.7749295,-122.4194155
7,CVS Health,7,6622.00 ,24.50,203000,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,42.0028761,-71.5147839
8,Amazon.com,12,3033.00 ,27.90,566000,Jeffrey P. Bezos,Retailing,Internet Services and Retailing,Seattle,WA,47.6062095,-122.3320708
9,AT&T,9,29450.00 ,127.00,254000,Randall L. Stephenson,Telecommunications,Telecommunications,Dallas,TX,32.7766642,-96.7969879
10,General Motors,8,3864.00,-141.00,180000,Mary T. Barra,Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,42.331427,-83.0457538
11,Ford Motor,10,7602.00 ,65.40,202000,James P. Hackett,Motor Vehicles &  Parts,Motor Vehicles and Parts,Dearborn,MI,42.3222599,-83.1763145
12,AmerisourceBergen,11,364.50 ,-74.50,19500,Steven H. Collis,Wholesalers,Wholesalers: Health Care,Chesterbrook,PA,40.0756627,-75.4590816
13,Chevron,19,9195.00 ,-,51900,Michael K. Wirth,Energy,Petroleum Refining,San Ramon,CA,37.7799273,-121.9780153
14,Cardinal Health,15,1288.00 ,-9.70,40400,Michael C. Kaufmann,Wholesalers,Wholesalers: Health Care,Dublin,OH,40.0992294,-83.1140771
15,Costco,16,2679.00 ,14.00,182000,W. Craig Jelinek,Retailing,General Merchandisers,Issaquah,WA,47.5301011,-122.0326191
16,Verizon,14,30101.00 ,129.30,155400,Lowell C. McAdam,Telecommunications,Telecommunications,New York,NY,40.7127753,-74.0059728
17,Kroger,18,1907.00 ,-3.40,449000,W. Rodney McMullen,Food &  Drug Stores,Food and Drug Stores,Cincinnati,OH,39.1031182,-84.5120196
18,General Electric,13,5786.00,-165.50,313000,John L. Flannery Jr.,Industrials,Industrial Machinery,Boston,MA,42.3600825,-71.0588801
